id,first_name,middle_name,last_name,last_name2,gender,salutation,language,status,organization,position,mobile1,mobile2,mobile3,mobile4,email,email_confirmed,contact_first_name,contact_middle_name,contact_last_name,contact_last_name2,contact_gender,contact_language,contact_position,contact_mobile1,contact_mobile2,contact_mobile3,contact_mobile4,contact_email,contact_email_confirmed,qr_code,qr_created,badge_created,badge_created_at,created_at,updated_at,active,allowed,notified_email,notified_email_at,notified_whatsapp,notified_whatsapp_at,notified_telegram,notified_telegram_at,notified_max,notified_max_at,passed,passed_at,gate_number,notes,title,photo_path
1,Людвиг,ван,Бетховен,,мужской,,немецкий,,,композитор,+7-935-987-66-21,,,,бетkhовенл@example.com,0,Ludwig,van,Beethoven,,мужской,немецкий,композитор,+7-955-167-87-97,,,,бетkhовенл@example.com,0,,,0,,,,1,1,0,,0,,0,,0,,0,,,Лунная соната,,1_Бетховен_Людвиг_ван.jpg
2,Уильям,,Шекспир,,мужской,,английский,,,писатель,+7-925-746-28-17,,,,shекспиру@example.com,0,William,,Shakespeare,,мужской,английский,писатель,+7-915-515-11-17,,,,shекспиру@example.com,0,,,0,,,,1,1,0,,0,,0,,0,,0,,,Гамлет,,2_Шекспир_Уильям_.jpg
3,Майкл,,Джексон,,мужской,,английский,,,певец,+7-996-865-15-67,,,,дzhексонм@example.com,0,Michael,,Jackson,,мужской,английский,певец,+7-942-445-58-91,,,,дzhексонм@example.com,0,,,0,,,,1,1,0,,0,,0,,0,,0,,,Thriller,,3_Джексон_Майкл_.jpg
4,София,,Лорен,,женский,,итальянский,,,актриса,+7-922-814-60-69,,,,лоренс@example.com,0,Sophia,,Loren,,женский,итальянский,актриса,+7-914-871-85-94,,,,лоренс@example.com,0,,,0,,,,1,1,0,,0,,0,,0,,0,,,Брак по-итальянски,,4_Лорен_София_.jpg
5,Акира,,Куросава,,мужской,,японский,,,режиссёр,+7-953-605-69-14,,,,куросаваа@example.com,0,Akira,,Kurosawa,,мужской,японский,режиссёр,+7-929-814-74-31,,,,куросаваа@example.com,0,,,0,,,,1,1,0,,0,,0,,0,,0,,,Семь самураев,,5_Куросава_Акира_.jpg
6,Фредди,,Меркьюри,,мужской,,английский,,,певец,+7-981-435-97-99,,,,меркyuриф@example.com,0,Freddie,,Mercury,,мужской,английский,певец,+7-926-436-39-35,,,,меркyuриф@example.com,0,,,0,,,,1,1,0,,0,,0,,0,,0,,,Bohemian Rhapsody,,6_Меркьюри_Фредди_.jpg
7,Милош,,Форман,,мужской,,чешский,,,режиссёр,+7-961-955-30-54,,,,форманм@example.com,0,Milos,,Forman,,мужской,чешский,режиссёр,+7-943-165-83-21,,,,форманм@example.com,0,,,0,,,,1,1,0,,0,,0,,0,,0,,,Пролетая над гнездом кукушки,,7_Форман_Милош_.jpg
8,Виктор,,Цой,,мужской,,русский,,,певец,+7-980-958-79-47,,,,tsоyв@example.com,0,Viktor,,Tsoi,,мужской,русский,певец,+7-911-938-66-91,,,,tsоyв@example.com,0,,,0,,,,1,1,0,,0,,0,,0,,0,,,Группа крови,,8_Цой_Виктор_.jpg
9,Алла,,Пугачёва,,женский,,русский,,,певица,+7-995-330-80-57,,,,пугаcheваа@example.com,0,Alla,,Pugacheva,,женский,русский,певица,+7-977-816-32-64,,,,пугаcheваа@example.com,0,,,0,,,,1,1,0,,0,,0,,0,,0,,,Миллион алых роз,,9_Пугачёва_Алла_.jpg
10,Горан,,Брегович,,мужской,,сербский,,,музыкант,+7-939-238-16-22,,,,бреговиchг@example.com,0,Goran,,Bregović,,мужской,сербский,музыкант,+7-946-790-35-37,,,,бреговиchг@example.com,0,,,0,,,,1,1,0,,0,,0,,0,,0,,,Kalashnikov,,10_Брегович_Горан_.jpg
