id,first_name,middle_name,last_name,last_name2,gender,salutation,language,status,organization,position,mobile1,mobile2,mobile3,mobile4,email,email_confirmed,contact_first_name,contact_middle_name,contact_last_name,contact_last_name2,contact_gender,contact_language,contact_position,contact_mobile1,contact_mobile2,contact_mobile3,contact_mobile4,contact_email,contact_email_confirmed,qr_code,qr_created,badge_created,badge_created_at,created_at,updated_at,active,allowed,notified_email,notified_email_at,notified_whatsapp,notified_whatsapp_at,notified_telegram,notified_telegram_at,notified_max,notified_max_at,passed,passed_at,gate_number,notes,title,photo_path
1,Людвиг,ван,Бетховен,,мужской,,немецкий,,,композитор,+7-987-639-96-11,,,,бетkhовенл@example.com,0,Ludwig,van,Beethoven,,мужской,немецкий,композитор,+7-977-459-83-39,,,,бетkhовенл@example.com,0,,,0,,,,1,1,0,,0,,0,,0,,0,,,Лунная соната,,1_Бетховен_Людвиг_ван.jpg
2,Вольфганг,Амадей,Моцарт,,мужской,,немецкий,,,композитор,+7-947-475-73-31,,,,моtsартв@example.com,0,Wolfgang,Amadeus,Mozart,,мужской,немецкий,композитор,+7-916-854-41-20,,,,моtsартв@example.com,0,,,0,,,,1,1,0,,0,,0,,0,,0,,,Волшебная флейта,,2_Моцарт_Вольфганг_Амадей.jpg
3,Иоганн,Себастьян,Бах,,мужской,,немецкий,,,композитор,+7-911-988-64-76,,,,баkhи@example.com,0,Johann,Sebastian,Bach,,мужской,немецкий,композитор,+7-975-117-45-84,,,,баkhи@example.com,0,,,0,,,,1,1,0,,0,,0,,0,,0,,,Токката и фуга,,3_Бах_Иоганн_Себастьян.jpg
4,Пётр,Ильич,Чайковский,,мужской,,русский,,,композитор,+7-927-722-46-78,,,,chаyковскиyп@example.com,0,Pyotr,Ilyich,Tchaikovsky,,мужской,русский,композитор,+7-966-419-58-30,,,,chаyковскиyп@example.com,0,,,0,,,,1,1,0,,0,,0,,0,,0,,,Лебединое озеро,,4_Чайковский_Пётр_Ильич.jpg
5,Фредерик,,Шопен,,мужской,,польский,,,композитор,+7-948-388-39-17,,,,shопенф@example.com,0,Frederic,,Chopin,,мужской,польский,композитор,+7-911-699-95-20,,,,shопенф@example.com,0,,,0,,,,1,1,0,,0,,0,,0,,0,,,Ноктюрн,,5_Шопен_Фредерик_.jpg
6,Дмитрий,Дмитриевич,Шостакович,,мужской,,русский,,,композитор,+7-958-980-60-31,,,,shостаковиchд@example.com,0,Dmitri,Dmitrievich,Shostakovich,,мужской,русский,композитор,+7-956-582-37-79,,,,shостаковиchд@example.com,0,,,0,,,,1,1,0,,0,,0,,0,,0,,,Симфония №7,,6_Шостакович_Дмитрий_Дмитриевич.jpg
7,Рихард,,Вагнер,,мужской,,немецкий,,,композитор,+7-949-320-27-25,,,,вагнерр@example.com,0,Richard,,Wagner,,мужской,немецкий,композитор,+7-934-697-55-46,,,,вагнерр@example.com,0,,,0,,,,1,1,0,,0,,0,,0,,0,,,Кольцо Нибелунга,,7_Вагнер_Рихард_.jpg
8,Антонин,,Дворжак,,мужской,,чешский,,,композитор,+7-913-971-88-51,,,,дворzhака@example.com,0,Antonin,,Dvorak,,мужской,чешский,композитор,+7-931-468-87-70,,,,дворzhака@example.com,0,,,0,,,,1,1,0,,0,,0,,0,,0,,,Из Нового Света,,8_Дворжак_Антонин_.jpg
9,Сергей,Сергеевич,Рахманинов,,мужской,,русский,,,композитор,+7-978-438-35-32,,,,раkhманиновс@example.com,0,Sergei,Sergeyevich,Rachmaninoff,,мужской,русский,композитор,+7-964-766-96-55,,,,раkhманиновс@example.com,0,,,0,,,,1,1,0,,0,,0,,0,,0,,,Рапсодия на тему Паганини,,9_Рахманинов_Сергей_Сергеевич.jpg
10,Джузеппе,,Верди,,мужской,,итальянский,,,композитор,+7-980-374-95-32,,,,вердид@example.com,0,Giuseppe,,Verdi,,мужской,итальянский,композитор,+7-969-287-74-93,,,,вердид@example.com,0,,,0,,,,1,1,0,,0,,0,,0,,0,,,Травиата,,10_Верди_Джузеппе_.jpg
